brand,model,slug,antenna_connector,channels,frequency_range,input_voltage,max_power_mw,mount_mm,power_levels_mw,price_usd,system,weight_g,sources,note
Happymodel,OVX303 25-300mW 5.8GHz 20x20 U.Fl w/ OpenVTX,happymodel-ovx303-25-300mw-5-8ghz-20x20-u-fl-w-openvtx,U.FL,,5.8 GHz,,300,20x20mm,,19.49,analog,0.9,https://www.racedayquads.com/products/happymodel-ovx303-25-300mw-5-8ghz-u-fl-vtx-w-openvtx,
HDZero,Freestyle 30x30 25-1000mW Digital HD - U.FL,hdzero-freestyle-30x30-25-1000mw-digital-hd-u-fl,U.FL,,5.725-5.850 GHz,,1000,30x30mm,,99.99,HDZero,28.0,https://www.racedayquads.com/products/hdzero-freestyle-30x30-25-1000mw-digital-hd-vtx-u-fl,
HDZero,Freestyle V2 20x20 25-1000mW Digital HD Kit - U.FL,hdzero-freestyle-v2-20x20-25-1000mw-digital-hd-kit-u-fl,U.FL,,5.725-5.850 GHz,,1000,20x20mm,,179.99,HDZero,22.3,https://www.racedayquads.com/products/hdzero-freestyle-v2-20x20-25-1000mw-digital-hd-vtx-kit-u-fl,
HDZero,Freestyle V2 20x20 25-1000mW Digital HD - U.FL,hdzero-freestyle-v2-20x20-25-1000mw-digital-hd-u-fl,U.FL,,5.725-5.850 GHz,,1000,20x20mm,,118.99,HDZero,22.3,https://www.racedayquads.com/products/hdzero-freestyle-v2-20x20-25-1000mw-digital-hd-vtx-u-fl,
HDZero,Race V2 20x20 25-200mW Digital HD - U.FL,hdzero-race-v2-20x20-25-200mw-digital-hd-u-fl,U.FL,,5.8 GHz,,200,20x20mm,,83.99,HDZero,5.9,https://www.racedayquads.com/products/hdzero-race-v2-25-200mw-digital-hd-vtx-u-fl,
HDZero,Race V3 1080P 20x20 25-200mw Digital HD,hdzero-race-v3-1080p-20x20-25-200mw-digital-hd,U.FL,,5.725-5.850 GHz,,200,20x20mm,,83.99,HDZero,5.5,https://www.racedayquads.com/products/hdzero-race-v3-1080p-20x20-25-200mw-digital-hd-vtx,
HDZero,Whoop Lite 25x25 200mw Digital HD - U.FL,hdzero-whoop-lite-25x25-200mw-digital-hd-u-fl,U.FL,,5.8 GHz,,200,32.4x32.5mm,,77.99,HDZero,,https://www.racedayquads.com/products/hdzero-whoop-lite-25x25-200mw-digital-hd-vtx-u-fl,
HDZero,Whoop Lite Bundle Kit,hdzero-whoop-lite-bundle-kit,U.FL,,5.727-5.850 GHz,,200,25x25mm,,119.99,HDZero,4.5,https://www.racedayquads.com/products/hdzero-whoop-lite-bundle-kit,
HDZero,Whoop V2,hdzero-whoop-v2,U.FL,,5.725-5.850 GHz,,200,31x31mm,,59.49,HDZero,5.4,https://www.racedayquads.com/products/hdzero-whoop-v2-vtx,
HDZero,Whoop V2 Bundle (Nano V3 ),hdzero-whoop-v2-bundle-nano-v3,U.FL,,5.725-5.850 GHz,,6000,25.5x25.5mm,,119.99,HDZero,5.4,https://www.racedayquads.com/products/hdzero-whoop-v2-bundle-nano-v3-camera,
HGLRC,Zeus 20x20/30x30 25-800mW 5.8GHz - MMCX,hglrc-zeus-20x20-30x30-25-800mw-5-8ghz-mmcx,MMCX,40,5.8 GHz,,800,20x20mm,,41.99,analog,4.8,https://www.racedayquads.com/products/hglrc-zeus-20x20-30x30-25-800mw-5-8ghz-vtx-with-mmcx-to-sma-adapter,
HGLRC,Zeus Nano 16x16/20x20/25x25 25-350mW 5.8GHz - U.FL,hglrc-zeus-nano-16x16-20x20-25x25-25-350mw-5-8ghz-u-fl,U.FL,40,5.8 GHz,,350,16x16mm,,22.99,analog,2.4,https://www.racedayquads.com/products/hglrc-zeus-nano-25-350mw-5-8ghz-16x16-20x20-25x25-vtx-u-fl,
iFlight,Blitz 30x30 25-1000mW+ 5.8GHz - MMCX,iflight-blitz-30x30-25-1000mw-5-8ghz-mmcx,MMCX,40,5.8 GHz,,1600,30x30mm,,57.99,analog,18.9,https://www.racedayquads.com/products/iflight-blitz-30x30-25-1000mw-5-8ghz-vtx-mmcx,
IMMERSIONRC,Ghost Hybrid DUO V2 2.4GHz Diversity Receiver & 25-600mW 5.8GHz 20x20,immersionrc-ghost-hybrid-duo-v2-2-4ghz-diversity-receiver-25-600mw-5-8ghz-20x20,U.FL,,5.8 GHz,,600,20x20mm,,82.49,analog,2.2,https://www.racedayquads.com/products/immersionrc-ghost-hybrid-duo-v2-2-4ghz-receiver-20-600mw-5-8ghz-vtx,
IMMERSIONRC,Ghost Hybrid UNO V2 2.4GHz Receiver & 20-600mW 5.8GHz 20x20,immersionrc-ghost-hybrid-uno-v2-2-4ghz-receiver-20-600mw-5-8ghz-20x20,U.FL,,5.8 GHz,,600,20x20mm,,54.99,analog,2.2,https://www.racedayquads.com/products/immersionrc-ghost-hybrid-uno-v2-2-4ghz-receiver-20-600mw-5-8ghz-vtx,
RunCam,SpeedyBee TX800 20x20 25-800mW 5.8GHz - MMCX,runcam-speedybee-tx800-20x20-25-800mw-5-8ghz-mmcx,MMCX,,5.8 GHz,,800,20x20mm,,51.99,analog,5.6,https://www.racedayquads.com/products/speedybee-tx800-20x20-25-800mw-5-8ghz-vtx-mmcx,
RUSHFPV,Max Solo 25-1000mW+ 5.8GHz - MMCX,rushfpv-max-solo-25-1000mw-5-8ghz-mmcx,MMCX,37,5.8 GHz,,1000,24x10.5mm,,93.99,analog,15.0,https://www.racedayquads.com/products/rushfpv-max-solo-25-1000-mw-5-8ghz-vtx-mmcx,
RUSHFPV,Tank II Ultimate 30x30 25-800mW 5.8GHz - MMCX,rushfpv-tank-ii-ultimate-30x30-25-800mw-5-8ghz-mmcx,MMCX,48,5.8 GHz,,800,30x30mm,,44.49,analog,6.8,https://www.racedayquads.com/products/rush-fpv-tank-ii-ultimate-30x30-25-800mw-5-8ghz-vtx-w-smart-audio-mmcx,
RUSHFPV,Tank Mini 20x20 25-800mW 5.8GHz - MMCX,rushfpv-tank-mini-20x20-25-800mw-5-8ghz-mmcx,MMCX,,5.8 GHz,,800,20x20mm,,47.99,analog,4.46,https://www.racedayquads.com/products/rush-fpv-tank-mini-25-800mw-20x20-5-8ghz-vtx-mmcx,
RUSHFPV,Tank Plus 25-800mW 5.8GHz 37ch - MMCX,rushfpv-tank-plus-25-800mw-5-8ghz-37ch-mmcx,MMCX,37,5.8 GHz,,800,,,39.99,analog,6.66,https://www.racedayquads.com/products/rushfpv-tank-plus-25-800mw-5-8ghz-37ch-vtx-mmcx,
RUSHFPV,Tank Solo 25-1000mW+ 5.8GHz - MMCX,rushfpv-tank-solo-25-1000mw-5-8ghz-mmcx,MMCX,48,5.8 GHz,,1000,,,71.99,analog,12.0,https://www.racedayquads.com/products/rush-fpv-tank-solo-25-1600mw-5-8ghz-vtx-w-smart-audio-mmcx,
RUSHFPV,Tiny Tank 25-350mW 5.8GHz Micro - U.FL,rushfpv-tiny-tank-25-350mw-5-8ghz-micro-u-fl,U.FL,,5.8 GHz,,350,,,29.99,analog,1.4,https://www.racedayquads.com/products/rush-fpv-tiny-tank-25-350mw-5-8ghz-vtx-u-fl,
T-Motor,FT800 20x20 25-800mW 5.8GHz - MMCX,t-motor-ft800-20x20-25-800mw-5-8ghz-mmcx,MMCX,,5.8 GHz,,800,20x20mm,,58.99,analog,7.58,https://www.racedayquads.com/products/t-motor-ft800-20x20-25-800mw-5-8ghz-vtx-mmcx,
TBS,Unify EVO 25-800mW 5.8GHz - SMA,tbs-unify-evo-25-800mw-5-8ghz-sma,SMA,,5.8 GHz,,800,,,71.99,analog,7.0,https://www.racedayquads.com/products/tbs-unify-evo-25-800mw-5-8ghz-vtx-sma,
TBS,Unify Pro HV 25-800mW 5.8GHz - SMA,tbs-unify-pro-hv-25-800mw-5-8ghz-sma,SMA,40,5.8 GHz,,800,,,59.99,analog,7.0,https://www.racedayquads.com/products/tbs-unify-pro-hv-25-800mw-5-8ghz-vtx-sma,
TBS,Unify Pro HV Race 25-200mW 5.8GHz - SMA,tbs-unify-pro-hv-race-25-200mw-5-8ghz-sma,SMA,,5.8 GHz,,200,,,35.99,analog,7.0,https://www.racedayquads.com/products/tbs-unify-pro-hv-race-25-200mw-5-8ghz-vtx-sma,
TBS,Unify Pro V3 25-800mW 5.8GHz - SMA,tbs-unify-pro-v3-25-800mw-5-8ghz-sma,SMA,,5.8 GHz,,800,,,47.99,analog,5.0,https://www.racedayquads.com/products/tbs-unify-pro-v3-25-800mw-5-8ghz-vtx-sma,
TBS,Unify Pro32 DP 25-400mW 5.8GHz - MMCX,tbs-unify-pro32-dp-25-400mw-5-8ghz-mmcx,MMCX,,5.8 GHz,,400,28x10mm,,59.99,analog,8.7,https://www.racedayquads.com/products/tbs-unify-pro32-dp-25-400mw-5-8ghz-vtx-mmcx,
TBS,Unify Pro32 HV 25-1000mW 5.8GHz - MMCX,tbs-unify-pro32-hv-25-1000mw-5-8ghz-mmcx,MMCX,,5.8 GHz,,1000,,,59.99,analog,8.7,https://www.racedayquads.com/products/tbs-unify-pro32-hv-25-1000mw-5-8ghz-vtx-mmcx,
