brand,model,slug,class,manufacturer_flight_time_min,motors,prop_mount,prop_size_in,recommended_battery,typical_auw_g,typical_current_a,vtx_system,weight_no_battery_g,sources,note
BetaFPV,Meteor75 Pro II,betafpv-meteor75-pro-ii,tiny whoop (HD),5 (1S 580) / 6 (1S 680),BetaFPV Freestyle 1102 (2026 series),1.0mm shaft,1.8,"{""cells"": ""1S"", ""capacity_mah"": 580, ""range_mah"": ""480-680 (LAVA II)"", ""connector"": ""BT2.0"", ""chemistry"": ""LiHV""}",,4,DJI O4 Wide,41.5,https://betafpv.com/products/meteor75-pro-ii-o4-brushless-whoop-quadcopter,"O4 Wide HD whoop, GF 1811 3-blade, 80mm wheelbase."
BetaFPV,Meteor85,betafpv-meteor85,whoop (2S 85mm),,BetaFPV 1103 11000KV,,2,"{""cells"": ""2S"", ""capacity_mah"": 450, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,5,analog (HD Digital variant),43.85,https://betafpv.com/products/meteor85-brushless-whoop-quadcopter-2022,2022 edition. Gemfan 2015 2-blade props.
BetaFPV,Pavo Pico,betafpv-pavo-pico,cinewhoop (sub-100),4,BetaFPV 1102 14000KV,,1.8,"{""cells"": ""2S"", ""capacity_mah"": 450, ""connector"": ""XT30"", ""chemistry"": ""LiPo (LAVA 75C)""}",99,5,DJI O3,72,https://betafpv.com/products/pavo-pico-brushless-whoop-quadcopter,"Weight with DJI O3, no battery. Gemfan 45mm 3-blade props, wheelbase 80.8mm."
BetaFPV,Pavo Pico II,betafpv-pavo-pico-ii,cinewhoop (sub-100),6.5 (2S 550),BetaFPV LAVA 1102 14000KV,,1.8,"{""cells"": ""2S"", ""capacity_mah"": 550, ""range_mah"": ""450-550"", ""connector"": ""XT30"", ""chemistry"": ""LiPo (LAVA)""}",,4,DJI O4/O4 Pro,53.7,https://betafpv.com/products/pavo-pico-ii-brushless-whoop-quadcopter,"O4 version 53.7g (PNP 39.1g, O4 Wide 59g). GF 45mm 3-blade, wheelbase 80mm."
BetaFPV,Pavo20,betafpv-pavo20,cinewhoop,4 (3S 450),BetaFPV 1103 8500KV,,2,"{""cells"": ""3S"", ""capacity_mah"": 450, ""range_mah"": ""450-650"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,5,DJI O3,94,https://betafpv.com/products/pavo20-brushless-whoop-quadcopter,94g with DJI O3 (55g without battery and FPV system).
BetaFPV,Pavo20 Pro,betafpv-pavo20-pro,cinewhoop,6.7 (3S 550),BetaFPV LAVA 1104 7200KV,1.5mm shaft,2.2,"{""cells"": ""3S"", ""capacity_mah"": 550, ""range_mah"": ""450-650"", ""connector"": ""XT30"", ""chemistry"": ""LiPo (LAVA 75C)""}",,4,DJI O3/O4 ready,66.3,https://www.getfpv.com/betafpv-pavo20-pro-cinewhoop-no-fpv-system.html,Weight without battery and air unit. Gemfan 2218 3-blade props.
BetaFPV,Pavo20 Pro II,betafpv-pavo20-pro-ii,cinewhoop,,BetaFPV LAVA 1104 7200KV,1.5mm shaft,2.2,"{""cells"": ""3S"", ""capacity_mah"": 550, ""range_mah"": ""450-680 (3S/4S LAVA II supported)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,4,DJI O4 Pro,116.2,https://betafpv.com/products/pavo20-pro-ii-brushless-whoop-quadcopter,"116.2g with O4 Pro (PNP 72.6g). Gemfan 2218 props, 93.9mm wheelbase."
BetaFPV,Pavo25 V2,betafpv-pavo25-v2,cinewhoop,6-8,BetaFPV 1505 4600KV,,2.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-850"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,DJI O3 (Walksnail/Caddx supported),190,https://betafpv.com/products/pavo25-v2-brushless-whoop-quadcopter,"190g with DJI O3 (153g without camera). GF D63 3-blade, wheelbase 112mm."
BetaFPV,X-Knight 35,betafpv-x-knight-35,toothpick (3.5in),,BetaFPV 1404 3800KV,T-mount,3.5,"{""cells"": ""4S"", ""capacity_mah"": 750, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,Caddx Polar Vista HD,142.9,https://betafpv.com/products/x-knight-35-fpv-quadcopter,HQ/Gemfan 3520 3-blade props.
DarwinFPV,BabyApe II,darwinfpv-babyape-ii,micro freestyle (sub-250),,DarwinFPV 1504 3600KV (4S),T-mount,3.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-850"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",224.4,6,analog,135.4,https://darwinfpv.com/products/darwinfpv-babyape-%e2%85%b1-freestyle-fpv-drone,6S variant exists. HQProp T3.5x2x3 props.
DarwinFPV,BabyApe Pro V2,darwinfpv-babyape-pro-v2,micro freestyle (3in),,DarwinFPV 1104 4300KV,1.5mm shaft,3,"{""cells"": ""3S (2-3S supported)"", ""capacity_mah"": 550, ""range_mah"": ""450-550"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,5,analog,70,https://darwinfpv.com/products/darwinfpv-babyape-3,"Gemfan 3016 props, 143mm diagonal."
DarwinFPV,CineApe25,darwinfpv-cineape25,cinewhoop,up to 9 (4S 850),DarwinFPV 1504 3600KV,,2.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",238,6,analog (Walksnail variant),144,https://darwinfpv.com/products/cineape-25-cinematic-whoop-fpv-drone,"Budget cinewhoop. HQProp T63 six-blade, 112mm True-X."
Diatone,Roma F5 V2,diatone-roma-f5-v2,freestyle,,Diatone MAMBA TOKA 2306.5 1770KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1100, ""range_mah"": ""1050-1300"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,Caddx Vista HD (analog variant 320g),380,https://www.drone-fpv-racer.com/en/diatone-roma-f5-dji-v2-6s-8242.html,Vista version 380g (analog power kit 320g). 218mm wheelbase.
Diatone,Taycan MX-C,diatone-taycan-mx-c,cinewhoop (ducted),5-7 (4S 1300),Diatone MAMBA MB1408 4000KV (4S) / 2800KV (6S),,3,"{""cells"": ""4S"", ""capacity_mah"": 1300, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",295,8,analog (Vista HD variant),175,https://www.firstquadcopter.com/news/diatone-mx-c-349-taycan/,158mm wheelbase; V1.1 upgraded to 1606 motors. RunCam Nano 2.
DJI,Avata,dji-avata,cinewhoop (ducted),18 hover,DJI (not published),,3,"{""cells"": ""4S (14.76V)"", ""capacity_mah"": 2420, ""connector"": ""DJI proprietary"", ""chemistry"": ""Li-ion (Intelligent Flight Battery)""}",410,6,DJI O3+ (built-in),248,https://www.dji.com/support/product/avata,Takeoff 410g; battery ~162g (35.71Wh). Superseded by Avata 2 but still widely flown.
DJI,Avata 2,dji-avata-2,cinewhoop (ducted),23,DJI (not published),,3,"{""cells"": ""4S (14.76V)"", ""capacity_mah"": 2150, ""connector"": ""DJI proprietary"", ""chemistry"": ""Li-ion (Intelligent Flight Battery)""}",377,5,DJI O4 (built-in),232,https://www.dji.com/avata-2/specs,Takeoff weight 377g; battery ~145g. Proprietary ecosystem - parts pages are informational.
DJI,Avata 360,dji-avata-360,"cinewhoop (ducted, 360 cam)",23 (realistic 18-20),DJI (not published),,3,"{""cells"": ""4S"", ""capacity_mah"": 2700, ""connector"": ""DJI proprietary"", ""chemistry"": ""Li-ion (Intelligent Flight Battery)""}",455,6,DJI O4+ (built-in),306,https://www.cliftoncameras.co.uk/uploads/specifications/CliftonCameras_DJI_Avata_360_Specs%201.pdf,"March 2026 release: dual 1/1.1in sensors, 8K60 360 video, 42GB internal. Battery ~149g (38.67Wh)."
DJI,Neo,dji-neo,camera whoop (guarded),18,DJI (not published),,2,"{""cells"": ""2S (7.3V)"", ""capacity_mah"": 1435, ""connector"": ""DJI proprietary"", ""chemistry"": ""Li-ion (Intelligent Flight Battery)""}",135,4,DJI O4 (built-in),90,https://www.dji.com/neo/specs,Takeoff weight 135g; battery ~45g. Official props 2016S (50.8mm).
Eachine,Novice-III,eachine-novice-iii,micro racer (beginner RTF),up to 10 (3S 450),Eachine 5500KV (2-3S),,3,"{""cells"": ""3S"", ""capacity_mah"": 450, ""range_mah"": ""450 (2-3S)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,5,analog,62,https://www.eachine.com/Eachine-Novice-III-135mm-2-3S-3-Inch-FPV-Racing-Drone-RTF-and-Fly-more-w-or-5_8G-40CH-EV800-Goggles-2_4G-ER8-Transmitter-Fly-more-6x-Battery-Version-p-1739.html,"RTF kit with EV800 goggles. 135mm wheelbase, bi-blade props."
Eachine,Novice-IV,eachine-novice-iv,"long range (sub-250, RTF)",20 (4S 1100) / up to 31 (Li-ion 3000),Eachine 1404-class (3-4S),,4,"{""cells"": ""4S"", ""capacity_mah"": 1100, ""range_mah"": ""1100 LiPo or 18650 3000 Li-ion"", ""connector"": ""XT30"", ""chemistry"": ""LiPo / Li-ion""}",215,5,analog,125,https://www.eachine.com/Eachine-Novice-IV-4-Inch-3-4S-Sub-250g-LR-Micro-Long-Range-FPV-Racing-Drone-RTF-and-Fly-more-w-or-EV800DM-Goggles-Radiomaster-TX12-Transmitter-RTF-2x-Battery-Version-p-2260.html,"RTF LR kit with GPS (M8N), 170mm wheelbase."
EMAX,Babyhawk II HD,emax-babyhawk-ii-hd,micro freestyle (sub-250),,EMAX ECO 1404 3700KV,,3.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-850 (3-4S)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,Caddx Nebula/Polar Vista HD,141,https://emax-usa.com/products/babyhawk-ii-hd-3-5-micro-dji-hd-fpv-drone,"155mm wheelbase, AVAN Scimitar 3.5in props. O3 refresh exists (Babyhawk O3)."
EMAX,EZ Pilot Pro,emax-ez-pilot-pro,whoop (beginner RTF),,EMAX 08025 II 15000KV,,1.6,"{""cells"": ""1S"", ""capacity_mah"": 450, ""connector"": ""PH2.0"", ""chemistry"": ""LiHV""}",,4,analog 25-200mW,32.5,https://shop.emax-usa.com/collections/beginner/products/ez-pilot-pro-ready-to-fly-fpv-drone-w-controller-goggles,RTF kit with E8 transmitter + Transporter 2 goggles. 75mm wheelbase.
EMAX,Hawk Apex 5,emax-hawk-apex-5,racing (ultralight),,EMAX ECO II 2004 1600KV (6S) / 3000KV 3.5in variant,,5,"{""cells"": ""6S"", ""capacity_mah"": 850, ""range_mah"": ""650-1100 (4S/6S variants)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,10,HDZero,167,https://shop.emax-usa.com/collections/new-products/products/hawk-apex-5-inch-hdzero-ultralight-racing-drone,HDZero racing platform; 3.5in variant exists. 4S version uses XT30 per EMAX.
EMAX,Hawk Pro 5,emax-hawk-pro-5,racing/freestyle,,EMAX Pulsar 2306 1700KV (6S) / 2400KV (4S),M5,5,"{""cells"": ""6S"", ""capacity_mah"": 1100, ""range_mah"": ""1100-1300 (6S) / 1300-1500 (4S)"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,12,analog 25-200mW,265,https://www.getfpv.com/emax-hawk-pro-5-4s-6s-fpv-racing-drone-1700kv-2400kv-pnp.html,"Legacy racing platform, 210mm wheelbase. Battery range is class-standard."
EMAX,Nanohawk,emax-nanohawk,tiny whoop (guarded),,EMAX TH0802 II 19000KV,1.0mm shaft,1.2,"{""cells"": ""1S"", ""capacity_mah"": 300, ""connector"": ""GNB27"", ""chemistry"": ""LiHV (60C)""}",,3,analog (RunCam Nano 3),20,https://shop.emax-usa.com/products/nanohawk-1s-ultralight-brushless-fpv-drone,"65mm wheelbase, Avia 31mm props, prop guards instead of ducts."
EMAX,Tinyhawk II Freestyle,emax-tinyhawk-ii-freestyle,micro freestyle (2S),,EMAX TH1103 7000KV,T-mount,2.5,"{""cells"": ""2S (2x 1S in series)"", ""capacity_mah"": 450, ""connector"": ""PH2.0 x2"", ""chemistry"": ""LiHV (80C)""}",79,4,analog,49,https://www.getfpv.com/emax-tinyhawk-ii-freestyle-2s-micro-brushless-fpv-drone-frsky-bnf.html,"Runs two 1S 450 packs in series. Avan Rush 2.5in props, 115mm wheelbase."
EMAX,Tinyhawk III,emax-tinyhawk-iii,whoop (beginner RTF),,EMAX TH0802 II 15000KV,,1.6,"{""cells"": ""1S"", ""capacity_mah"": 450, ""connector"": ""PH2.0"", ""chemistry"": ""LiHV""}",,4,analog,31,https://shop.emax-usa.com/products/tinyhawk-3-fpv-racing-drone-ready-to-fly-w-controller-and-goggles,76mm wheelbase. Plus version has bigger 650mAh pack and ELRS.
EMAX,Tinyhawk III Plus,emax-tinyhawk-iii-plus,whoop (1-2S),,EMAX TH0802 II 15000KV,,1.6,"{""cells"": ""1S (2S supported)"", ""capacity_mah"": 650, ""connector"": ""PH2.0"", ""chemistry"": ""LiHV""}",,5,analog,32.5,https://www.racedayquads.com/products/emax-bnf-tinyhawk-iii-plus-whoop-1-2s-analog-racing-drone-w-runcam-nano-elrs-2-4-ghz,"Wheelbase 76mm, RunCam Nano camera, integrated ELRS."
Flywoo,CineRace20 V2,flywoo-cinerace20-v2,cinewhoop (race),5.7 (4S 450) / 8.2 (4S 750),Flywoo NIN V2 1203PRO 5500KV,,2,"{""cells"": ""4S"", ""capacity_mah"": 750, ""range_mah"": ""450-750"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,4,DJI O3 (analog/Vista variants),139,https://flywoo.net/products/cinerace20-hd-dji-o3-2inch-w-sandisk-128gb-sub250-4k-1080p-cinewhoop,"O3 edition 139g (analog 112g, 4850KV). Gemfan D51 props."
Flywoo,Explorer LR4 V2,flywoo-explorer-lr4-v2,long range (sub-250),up to 28 cruise (Li-ion 3000),Flywoo NIN V2 1404 2750KV,T-mount,4,"{""cells"": ""4S"", ""capacity_mah"": 3000, ""range_mah"": ""18650 3000 Li-ion or 750 LiPo"", ""connector"": ""XT30"", ""chemistry"": ""Li-ion / LiPo""}",246,5,DJI O4 Pro (analog variant available),179,https://flywoo.net/products/explorer-lr-4-o4-pro-v2-sub250-micro-long-range,AUW 246g with 4S 750 LiPo. Recommended Li-ion: Sony/Molicel 18650 4S1P.
Flywoo,Firefly Nano Baby 20,flywoo-firefly-nano-baby-20,micro (2S 2in),,Flywoo ROBO 1002 15500KV,,2,"{""cells"": ""2S"", ""capacity_mah"": 450, ""range_mah"": ""450-650"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,4,analog (Walksnail variant available),33.8,https://www.getfpv.com/flywoo-firefly-nano-baby-20-2s-micro-quadcopter-bnf-analog.html,"Battery range/connector are class-standard values, not confirmed by Flywoo spec table."
Flywoo,Firefly18 Nano Baby V3,flywoo-firefly18-nano-baby-v3,micro (1S toothpick),4.3 (1S 450) / 5.7 (1S 750),Flywoo ROBO 1002 19800KV,,1.8,"{""cells"": ""1S"", ""capacity_mah"": 750, ""range_mah"": ""450-750"", ""connector"": ""A30"", ""chemistry"": ""LiHV""}",,5,DJI O4 (HDZero/Walksnail variants),36,https://flywoo.net/products/firefly18-1s-nano-baby-v3-o4-tiny-drone,~36g with O4 (25.9g without FPV system; 56g AUW with 1S 750). HQ 45mm bi-blade props.
Flywoo,FlyLens 85,flywoo-flylens-85,whoop (2S cinewhoop),up to 8 (2S 1000),Flywoo ROBO 1003 14800KV,,2,"{""cells"": ""2S"", ""capacity_mah"": 1000, ""range_mah"": ""750-1000"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,DJI O3 Lite naked (O4 variants available),76,https://flywoo.net/products/flylens-85-hd-o3-lite-2s-brushless-whoop-fpv-drone,76g with naked O3 Lite (55g without FPV system).
Flywoo,Mr.Croc 6 HD,flywoo-mr-croc-6-hd,long range / freestyle (6in),,Flywoo NIN 2306.5 1750KV,M5,6,"{""cells"": ""6S"", ""capacity_mah"": 1500, ""range_mah"": ""1300-3000 or Li-ion"", ""connector"": ""XT60"", ""chemistry"": ""LiPo / Li-ion""}",,12,DJI Digital HD (Air Unit),389,https://www.getfpv.com/flywoo-mr-croc-6-6s-fpv-quadcopter-w-gps-dji-digital-hd-fpv-system.html,With GPS. 7in variant 498g (NIN 2806.5). Battery range is class-standard.
GEPRC,Cinebot25 S,geprc-cinebot25-s,cinewhoop,,GEPRC 1505 4300KV,T-mount,2.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-850"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,7,DJI O3 (WTFPV/analog variants),192.75,https://geprc.com/product/geprc-cinebot25-s-wtfpv-quadcopter/,HD O3 version (WTFPV: 145g). HQProp DT63x4 props.
GEPRC,Cinebot25 V2,geprc-cinebot25-v2,cinewhoop,5-8 (cruise),GEPRC SPEEDX2 1404 4600KV,T-mount,2.5,"{""cells"": ""4S"", ""capacity_mah"": 900, ""range_mah"": ""750-1100"", ""connector"": ""XT30"", ""chemistry"": ""LiHV""}",,7,DJI O4 Pro,219,https://geprc.com/product/geprc-cinebot25-v2-o4-pro-quadcopter/,O4 Pro + GPS (GEP-M10nano). HQProp DT63x3 V2 props.
GEPRC,Cinebot30,geprc-cinebot30,cinewhoop,5.5-10.5,GEPRC SPEEDX2 1804 2450KV (6S) / 3450KV (4S),T-mount,3,"{""cells"": ""6S"", ""capacity_mah"": 1100, ""range_mah"": ""850-1100 (6S) / 1100-1300 (4S)"", ""connector"": ""XT60H-M"", ""chemistry"": ""LiPo""}",,10,DJI O3,234.7,https://geprc.com/product/geprc-cinebot30-hd-o3-fpv-drone/,O3 version (analog: 209.2g). Props HQ T76 3-blade.
GEPRC,Cinelog20,geprc-cinelog20,cinewhoop,4-6,GEPRC GR1303.5 5500KV,,2,"{""cells"": ""4S"", ""capacity_mah"": 660, ""range_mah"": ""450-660"", ""connector"": ""XT30"", ""chemistry"": ""LiHV""}",,6,DJI O3,140,https://geprc.com/product/geprc-cinelog20-hd-o3-fpv-drone/,HD O3 version (weight incl. TBS Nano RX). Props EMAX Avan Micro 2x2.4x4.
GEPRC,Cinelog30 V3,geprc-cinelog30-v3,cinewhoop,up to 8.2 (cruise),GEPRC SPEEDX2 1404 3850KV,T-mount,3,"{""cells"": ""4S"", ""capacity_mah"": 660, ""range_mah"": ""660-720"", ""connector"": ""XT30"", ""chemistry"": ""LiHV""}",,6,DJI O4 Pro,187,https://oscarliang.com/geprc-cinelog30-v3/,"O4 Pro version, HQProp DT76x3 props. Connector XT30 is class-standard, not stated by GEPRC."
GEPRC,Cinelog35 V2,geprc-cinelog35-v2,cinewhoop,5-8.5,GEPRC SPEEDX2 2105.5 2650KV,T-mount,3.5,"{""cells"": ""6S"", ""capacity_mah"": 1100, ""range_mah"": ""1050-1300"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,10,DJI O3,285.8,https://geprc.com/product/geprc-cinelog35-v2-hd-o3-fpv-drone/,HD O3 version (analog: 263.8g). Specs from geprc.com.
GEPRC,Cinelog35 V3,geprc-cinelog35-v3,cinewhoop,,GEPRC SPEEDX2 2105.5 2650KV,T-mount,3.5,"{""cells"": ""6S"", ""capacity_mah"": 1100, ""range_mah"": ""1100-1300"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,10,DJI O4 Pro,280,https://geprc.com/product/geprc-cinelog35-v3-o4-pro-fpv-drone/,"O4 Pro version, 142mm wheelbase, HQProp D-T90 props. Connector XT60 is class-standard."
GEPRC,Crocodile Baby 4,geprc-crocodile-baby-4,long range (sub-250),28+ (Li-ion 3000),GEPRC GR1404 2750KV,,4,"{""cells"": ""4S"", ""capacity_mah"": 750, ""range_mah"": ""650-1300 LiPo or 18650 3000 Li-ion"", ""connector"": ""XT30"", ""chemistry"": ""LiPo / Li-ion""}",242,5,Caddx Vista HD (Wasp/analog variants),155,https://geprc.com/product/geprc-crocodile-baby-4-hd-micro-long-range/,"Dry weight derived: 242g incl. 4S 750 pack. Gemfan 4024 props, 174mm wheelbase."
GEPRC,DarkStar20,geprc-darkstar20,cinewhoop,,GEPRC SPEEDX2 1102 10000KV,,2,"{""cells"": ""2S"", ""capacity_mah"": 500, ""range_mah"": ""450-550"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",120,5,DJI O3 (WTFPV/Wasp variants),86,https://geprc.com/product/geprc-darkstar20-o3-cinewhoop-quadcopter/,90mm diagonal.
GEPRC,Mark4,geprc-mark4,freestyle,,GEPRC 2306.5 1850KV (6S) / 2450KV (4S),M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1300, ""range_mah"": ""1100-1400"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,Caddx Nebula HD / analog variants,346,https://geprc.com/product/mark4-drone-for-freestyle-fpv-4s-6s/,"Legacy freestyle platform (pre-Mark5), 225mm. GEPRC G5x4.3x3 props."
GEPRC,Mark5,geprc-mark5,freestyle,,GEPRC SPEEDX2 2107.5 1960KV (6S),M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1300, ""range_mah"": ""1050-1550"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,DJI O3,404.9,https://geprc.com/product/geprc-mark5-hd-o3-freestyle-fpv-drone-green/,HD O3 version. Props Gemfan 5136. Wheelbase 225mm.
GEPRC,MOZ7 V2,geprc-moz7-v2,long range,~25-30 (Li-ion 6S),,,7,"{""cells"": ""6S"", ""capacity_mah"": 8000, ""range_mah"": ""3300-4000 LiPo or 6S2P Li-ion 6000-8000"", ""connector"": ""XT60"", ""chemistry"": ""LiPo / Li-ion""}",,12,DJI O4 Pro (O3/Wasp variants),750,https://geprc.com/product/geprc-moz7-v2-o4-pro-long-range-fpv/,Manufacturer spec ~750g; independent reviews measured closer to 843g dry.
GEPRC,Rocket Plus,geprc-rocket-plus,cinewhoop (ducted),,GEPRC GR1204 5000KV,,2,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-850"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,7,DJI FPV Air Unit (Vista/analog Lite variants),148,https://geprc.com/product/rocket-plus-dji-air-unit-hd-fpv/,"112mm wheelbase, 2in 4-blade props, onboard 1080p60 recording via Air Unit."
